puuid|accountId|summonerId|region|tier|summonerName|leaguePoints|rank|wins|losses|veteran|inactive|freshBlood|hotStreak|profileIconId|revisionDate|summonerLevel
BEkQdHG9iMt0av3p4YD8bn_6yJrngja7E7qLLBN5uqy7nCWxgTFR-Zcr8n7jA4WNPMx5kYXIXNO8hA|DVbe6v-LqNNCOEG4Vm_0XdQRh9yplvHfvg6abY7XQoPu|tfUHlNdzGEM_VsC2bomL65XJOp-Qo6jGdxx3i0Ch5GLLKQ|kr|master|ointment|0|I|171|144|False|False|True|True|588|1595963054000|189
CG2DLPvhv2g3bYN_r6lNIW6d_qEIt4mhYexy0x3PFVv23_yQJOuTay-DVB84grJCXDnyA83a2ZjH1g|AL6sT6tOcAgHBG5e-uyqjsAEjhVmIbaMbrDciMrTJctm80Eb-kNhZ0RO|yl25jOpkfybX1XqXzvT-wZa_7SbDE1Pyh-bdK9pwUKfLUYw|kr|master|laosi|192|I|433|409|True|False|False|False|4632|1596064003000|120
mGuxIDvWPC0tZLA-SZnr8HMlNQPa4P0dCgk2g3_nKZW-y6lUtLkqmnM5DTMPKzh-7A2A0zkQIiURUA|5PGABY8w4UDNnoqoXCCh7G6KlFuFyor4kfsllq_xhQRddfY|U-plKjELhKu61gi-bltWotpFEUdv-UDq8rCTIXehMTyLBP0|kr|master|아이쨩|94|I|482|483|True|False|False|False|4655|1595796353000|312
ta0DCvgnBaMgRwnKotfS1Mnc_fp2srY3OG6lMvpn6FFkGkh4Qi0PH3VKuwpckA-6H99kGaKYBFstNQ|_Au9APw6jlc7-gc7Xh8h_QmmVKu6VqpKEu6kBObqZJEe7F6ytnKQCGcD|yOcgZWclOzjnrObL7NmCOU0xJbSKegZxp0Hx7WpRrHvxPKQ|kr|master|응디시티|17|I|1157|1071|False|False|True|False|4633|1596001835000|157
MX6HX47bkS-r9wG-s0d8GG5ggz2Fkr_hGEqvcMhiMGohNm5N6BqfE-z6a620g1T-kbmUZuIRCjG5fQ|ZGqawc7AL3rMqRdsAqceAK8zBeW8Hi7AfChgjzk2YcoRdNg|SvqSz8hBswrjC1Oqd4Q5TEirsV_pGrG4H5Q332n_EQ7P8cc|kr|master|CHOUX|0|I|64|45|False|False|True|True|4653|1596080475000|150
NqZXPi4-UHPd8lTBxRbW6cC-3Y--uTAeYtfGg93KUc4lwYD5_YTRjg24si8684ol3TPsXWHwA36sJA|SEq7iXzZRP0hvjJw53FRxIjujFDykB2FI0jf28Tw3vim9a03tcp8b01Z|B3KmqeZPnhz7b9t8YrgwpHgW5PdrF57ValaYF51PuxJim9o|kr|master|너가 그리운 오늘|0|I|60|51|False|False|True|False|1104|1595877879000|55
cNGcO_Isbrh4FQ8GF-BChDkFUwfckkMNltMtNwr-xsSsj2eu6G4_ag0nNbbrXFFu3wN350CGUjlz5Q|KB2otcMx06lyX-TuulBO4w3DswVwZEQOtGtN9tpsktg8InUBfSkwN_gu|LAuv74q22uqvksRmPmvyT__H8Yrtq_ZBK6RczzuFWdtDP070|kr|master|White White Snow|125|I|79|51|False|False|False|False|29|1596020535000|42
L2dicvYqm6DpJlAMWp174Y4CPRw8dpoNGWCu0ZOiEN3kDUywxc2Z50rZyrM3czBuC9B40kDam41kZQ|X80J8clR1hKKg_72iiFo8ZEZoM6A6Ldpcy9aJZ4IJz3ppyU|sXfWseLLMdpHO2uFn-yF5AbfFB3YhGF_z8kTT09PZcjzozQ|kr|master|Ucal|91|I|60|42|False|False|True|False|23|1596076799000|126
BgJHfggf9RO0azAKQYQ4nCjTCc6FAknU6P5lfusqbSGWjT3dSJ4OuaSSPnrVaKQTlFss9C_-Ey2_uQ|QWIjU0bLdXsT7Wt3Y0X3PmA_erPzhU5mFf0kE7nvtQhC|xbQnK1OgB6APBMx-qRl3paergZqykp3kdKJVID2wXz5WEQ|kr|master|Dragon X|113|I|176|154|True|False|False|False|7|1596022968000|163
c9bn-Q9ngCy0nLa6URX-iM8iLRj-q4lVGmUdLyFnp2fUwY-brSoRgmwhW_-uAKjZXpDiEIBmzfvekw|Pxt-zoMAfhZFQ_dZpkF5xvHrSsWcNl7_vrMLfaWo_Cbj|vymHZ53ZcTCzo6I6888d8OC8S2YN47jNGvIQNBLfh-ya1w|kr|master|돈까스틱|133|I|324|308|False|False|True|False|3155|1595999956000|319
